"time" "x" "z" "v.x" "v.z" "d" "speed"
21772800 20274187775.1784 91342265267.7836 -37011.0781138443 9837.29888219918 93565229194.3612 38296.1140645732
21859200 17066219804.5422 92136519086.4388 -37239.7437191063 8547.49146665331 93703756636.4478 38208.0897538365
21945600 13840487585.1532 92819173511.6849 -37422.3171361798 7254.27032893768 93845394495.3456 38118.9488030051
22032000 10600964805.5059 93390008453.2646 -37559.0109070401 5959.36235061364 93989755472.1174 38028.8482594604
22118400 7351603823.44815 93848951450.7754 -37650.1055943069 4664.45754077662 94136452913.7727 37937.9442697172
22204800 4096329953.41699 94196074378.911 -37695.9459366445 3371.20653127423 94285101407.829 37846.3918165911
22291200 839036092.60501 94431589946.0796 -37696.9369659533 2081.21842449502 94435317341.0733 37754.3444751133
22377600 -2416422320.37767 94555848025.5021 -37653.5401198528 796.058972512635 94586719430.6488 37661.9541904703
22464000 -5666232012.4446 94569331843.5474 -37566.2693739256 -482.750921414447 94738929224.2309 37569.3710770685
22550400 -8906626249.73736 94472654051.2697 -37435.687416787 -1753.73639169112 94891571567.9922 37476.7432376257
22636800 -12133888883.4455 94266552706.0158 -37262.4018898442 -3015.46950624631 95044275043.3284 37384.2166019747
22723200 -15344358074.2402 93951887187.6745 -37047.0617108933 -4266.56988612648 95196672372.7043 37291.9347849363
22809600 -18534429703.3032 93529634072.7002 -36790.3534983783 -5505.70506629709 95348400795.1885 37200.0389625157
22896000 -21700560479.2886 93000882987.5004 -36492.9981108931 -6731.59061561233 95499102412.3788 37108.6677656022
22982400 -24839270754.366 92366832461.0343 -36155.7473130687 -7942.99003609343 95648424506.0706 37017.9571894501
23068800 -27947147051.4339 91628785795.244 -35779.3805825722 -9138.71445295261 95796019826.6357 36928.0405210614
23155200 -31020844322.348 90788146971.0692 -35364.7020636809 -10317.6221186741 95941546854.9043 36839.0482808212
23241600 -34057087959.5354 89846416603.7177 -34912.5376689475 -11478.6177566108 96084670040.6071 36751.108174966
23328000 -37052675557.9858 88805187961.3898 -34423.7323417732 -12620.6517486356 96225060014.8585 36664.3450629952
23414400 -40004478444.6183 87666143060.538 -33899.1474820198 -13742.7191861762 96362393778.5724 36578.880937473
23500800 -42909442994.2401 86431048848.2531 -33339.6585342799 -14843.8588049588 96496354869.4201 36494.8349140523
23587200 -45764591745.1699 85101753481.0515 -32746.1527401286 -15923.1518177646 96626633508.3229 36412.3232311729
23673600 -48567024327.4836 83680182708.6019 -32119.5270547588 -16979.7206591169 96752926726.6442 36331.4592589264
23760000 -51313918218.2408 82168336369.1542 -31460.6862265128 -18012.7276558439 96874938475.2464 36252.3535159676
23846400 -54002529337.4645 80568285002.422 -30770.5410372265 -19021.373636307 96992379716.5283 36175.1136934721
23932800 -56630192499.1162 78882166584.93 -30050.0067005702 -20004.8964909266 97104968501.2029 36099.8446854969
24019200 -59194321730.3746 77112183391.4169 -29300.0014149823 -20962.5696951018 97212430030.8896 36026.6486248716
24105600 -61692410472.5287 75260598985.1671 -28521.4450673064 -21893.700805101 97314496707.9268 35955.6249239345
24192000 -64122031676.1233 73329735339.0534 -27715.2580828217 -22797.6299363404 97410908173.4144 35886.8703192649
24278400 -66480837802.9135 71321970088.5037 -26882.3604170768 -23673.7282329981 97501411334.8249 35820.4789197949
24364800 -68766560746.6776 69239733916.7769 -26023.6706847109 -24521.3963370275 97585760384.354 35756.5422576605
24451200 -70977011684.4977 67085508072.276 -25140.105420302 -25340.0628638892 97663716809.1443 35695.1493411886
24537600 -73110080869.7015 64861822017.0279 -24232.578466203 -26129.1828916481 97735049394.4875 35636.3867094558
24624000 -75163737377.2161 62571251204.9081 -23302.0004823086 -26888.236469428 97799534221.073 35580.3384878979
24710400 -77136028811.6519 60216414987.7029 -22349.2785727323 -27616.7271506201 97856954657.3121 35527.0864444776
24796800 -79025080988.0043 57799974646.6572 -21375.3160244477 -28314.1805556884 97907101347.7309 35476.7100459602
24883200 -80829097594.4356 55324631546.7588 -20381.0121530696 -28980.1429689077 97949772198.3845 35429.2865138701
24969600 -82546359846.1916 52793125410.6559 -19367.2622511018 -29614.1799729115 97984772360.2101 35384.8908797377
25056000 -84175226139.3326 50208232708.7867 -18334.9576341419 -30215.8751245359 98011914211.2196 35343.5960392732
25142400 -85714131712.5095 47572765162.0285 -17284.9857807732 -30784.8286750445 98031017338.3452 35305.4728051243
25228800 -87161588324.6611 44889568352.9173 -16218.2305620857 -31320.6563375081 98041908519.719 35270.589957885
25315200 -88516183956.3751 42161520441.2051 -15135.572556894 -31822.9881039428 98044421708.29 35239.0142950777
25401600 -89776582542.0666 39391530979.3762 -14037.8894490938 -32291.4671144658 98038398017.4689 35210.8106778246
25488000 -90941523739.851 36582539823.5698 -12926.0565038399 -32725.7485805601 98023685709.47 35186.0420749265
25574400 -92009822745.8648 33737516135.1181 -11800.9471193893 -33125.4987644686 98000140187.108 35164.7696041
25660800 -92980370159.4351 30859457467.7691 -10663.4334517542 -33490.3940166035 97967623989.7173 35147.052570128
25747200 -93852131905.271 27951388935.5042 -9514.38710954956 -33820.1198728049 97926006793.8452 35132.9484996813
25833600 -94624149218.6349 25016362455.7028 -8354.67991665573 -34114.3702132683 97875165419.3524 35122.5131725749
