station_european_code	component_code	component_name	component_caption	measurement_unit	measurement_european_group_code	statistics_period	statistics_year	statistics_average_group	statistic_shortname	statistic_name	statistic_value	statistics_percentage_valid	statistics_number_valid	statistics_calculated
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1991	day	Max	maximum	105.500	96.712	353	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1991	hour	P50	50 percentile	39.000	88.105	7718	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1991	hour	Mean	annual mean	41.988	88.105	7718	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1991	hour	P95	95 percentile	84.000	88.105	7718	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1991	hour	P98	98 percentile	96.000	88.105	7718	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1991	hour	Max	maximum	157.000	88.105	7718	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1991	hour	Max19	19th highest value	132.000	88.105	7718	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1991	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	88.105	7718	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1992	day	P50	50 percentile	38.818	88.525	324	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1992	day	Mean	annual mean	39.350	88.525	324	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1992	day	P95	95 percentile	70.174	88.525	324	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1992	day	P98	98 percentile	78.455	88.525	324	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1992	day	Max	maximum	100.826	88.525	324	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1992	hour	P50	50 percentile	36.000	83.618	7345	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1992	hour	Mean	annual mean	39.408	83.618	7345	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1992	hour	P95	95 percentile	83.000	83.618	7345	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1992	hour	P98	98 percentile	97.000	83.618	7345	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1992	hour	Max	maximum	169.000	83.618	7345	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1992	hour	Max19	19th highest value	124.000	83.618	7345	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1992	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	83.618	7345	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1993	day	P50	50 percentile	39.045	92.329	337	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1993	day	Mean	annual mean	39.103	92.329	337	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1993	day	P95	95 percentile	70.783	92.329	337	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1993	day	P98	98 percentile	79.500	92.329	337	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1993	day	Max	maximum	90.318	92.329	337	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1993	hour	P50	50 percentile	36.000	87.968	7706	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1993	hour	Mean	annual mean	38.985	87.968	7706	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1993	hour	P95	95 percentile	82.000	87.968	7706	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1993	hour	P98	98 percentile	95.000	87.968	7706	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1993	hour	Max	maximum	149.000	87.968	7706	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1993	hour	Max19	19th highest value	118.000	87.968	7706	Y
